ID,MJ,Sec1.5,Sec5
1,0,0.4,0.4
2,0,0.44,0.44
4,0,0.42,0.42
8,0,0.33,0.6
9,0,0.5,0.75
10,0,0.78,0.71
13,0,0.42,0.3
14,0,0.55,0.44
15,0,0.27,0.2
19,0,0.7,0.63
20,0,0.67,0.64
22,0,0.33,0.2
25,0,0,0.33
27,0,0.44,0.29
28,0,0.5,0.5
30,0,1,1
33,0,0.67,0.67
34,0,0.14,0.14
39,0,0.36,0.13
44,0,1,1
45,0,0.17,0.17
46,0,0.44,0.29
47,0,0.38,0.38
48,0,0.67,0.57
50,0,0.5,0.57
52,0,0.3,0
56,0,0.5,0.56
57,0,0.33,0.33
58,0,0.38,0.44
59,0,0.33,0.33
60,0,0.67,0.5
61,0,0.36,0.42
63,0,0.63,0.7
68,0,0.33,0.33
69,0,0.5,0.2
70,0,0.4,0.2
71,0,0.25,0.63
74,0,0.4,0.54
75,0,0.13,0.22
78,0,1,1
79,0,0.27,0.21
80,0,0.5,0.5
81,0,0.14,0.14
83,0,0.13,0.24
86,0,0.31,0.27
87,0,0.2,0.2
88,0,0.5,0.8
91,0,0.5,0.5
92,0,0.14,0.14
93,0,0.33,0.33
94,0,0.18,0.26
3,1,0.5,0.5
5,1,0.31,0.31
6,1,0.75,0.75
7,1,0.2,0.33
11,1,0.33,0.33
12,1,0.15,0.08
16,1,0.31,0.35
17,1,0.33,0.33
18,1,0.44,0.4
21,1,0.25,0.25
23,1,0.52,0.53
24,1,0.33,0.33
26,1,0.29,0.5
29,1,0.5,0.5
31,1,0.67,0.64
32,1,0.5,0.58
35,1,0.33,0.33
36,1,0.33,0.4
37,1,0,0.2
38,1,0.17,0.29
40,1,0.17,0.29
41,1,0.4,0.33
42,1,0.45,0.25
43,1,0.38,0.38
49,1,0.3,0.46
51,1,0.17,0.15
53,1,0.33,0.33
54,1,0,0.13
55,1,0,0.23
62,1,0.33,0.33
64,1,0.08,0.25
65,1,0.44,0.31
66,1,0,0.1
67,1,0.27,0.27
72,1,0.13,0.2
73,1,0.18,0.13
76,1,0.63,0.54
77,1,0.15,0.15
82,1,0.13,0.15
84,1,0.67,0.6
85,1,0.32,0.19
89,1,0.5,0.43
90,1,0.29,0.29
95,1,0.08,0.09